address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"2716 WEBSTER ST BERKELEY, CA 94705 ",2716,WEBSTER ST,BERKELEY,CA,94705,-122.252115,37.85555,06,001,423800,3
"2618 COLLEGE AV BERKELEY, CA 94704 ",2618,COLLEGE AV,BERKELEY,CA,94704,-122.254002,37.862896,06,001,423602,3
"2051 SAN PABLO AVE BERKELEY, CA 94702 ",2051,SAN PABLO AVE,BERKELEY,CA,94702,-122.29153,37.868426,06,001,423100,1
"1820 WARD ST BERKELEY, CA 94703 ",1820,WARD ST,BERKELEY,CA,94703,-122.272445,37.858489,06,001,423400,3
"2014 SEVENTH ST BERKELEY, CA 94710 ",2014,SEVENTH ST,BERKELEY,CA,94710,-122.296774,37.867673,06,001,423200,1
"1721 FRANCISCO ST BERKELEY, CA 94703 ",1721,FRANCISCO ST,BERKELEY,CA,94703,-122.276916,37.874959,06,001,422300,2
"2140 WARD ST BERKELEY, CA 94705 ",2140,WARD ST,BERKELEY,CA,94705,-122.265142,37.859404,06,001,423500,2
"1326 DERBY ST BERKELEY, CA 94702 ",1326,DERBY ST,BERKELEY,CA,94702,-122.283433,37.858021,06,001,423300,2
"624 SAN MIGUEL AV BERKELEY, CA 94707 ",624,SAN MIGUEL AV,BERKELEY,CA,94707,-122.282877,37.896298,06,001,421300,1
"1614 ALCATRAZ AVE BERKELEY, CA 94703 ",1614,ALCATRAZ AVE,BERKELEY,CA,94703,-122.274956,37.847986,06,001,424001,4
"2526 DURANT AV BERKELEY, CA 94704 ",2526,DURANT AV,BERKELEY,CA,94704,-122.257717,37.8677,06,001,422800,1
"761 SPRUCE ST BERKELEY, CA 94707 ",761,SPRUCE ST,BERKELEY,CA,94707,-122.26893,37.896062,06,001,421100,2
"2149 BLAKE ST BERKELEY, CA 94704 ",2149,BLAKE ST,BERKELEY,CA,94704,-122.26525,37.86354,06,001,423500,1
"1369 ADA ST BERKELEY, CA 94702 ",1369,ADA ST,BERKELEY,CA,94702,-122.286201,37.878792,06,001,421900,2
"1541 OXFORD ST BERKELEY, CA 94709 ",1541,OXFORD ST,BERKELEY,CA,94709,-122.266586,37.879287,06,001,421700,3
"1036 PARK HILLS RD BERKELEY, CA 94708 ",1036,PARK HILLS RD,BERKELEY,CA,94708,-122.255314,37.894207,06,001,421500,1
"3117 COLLEGE AVE BERKELEY, CA 94705 ",3117,COLLEGE AVE,BERKELEY,CA,94705,-122.252353,37.853232,06,001,423800,3
"150 MONTROSE RD BERKELEY, CA 94707 ",150,MONTROSE RD,BERKELEY,CA,94707,-122.27013,37.895631,06,001,421200,2
"2005 BANCROFT WY BERKELEY, CA 94704 ",2005,BANCROFT WY,BERKELEY,CA,94704,-122.269428,37.867825,06,001,422902,3
"2087 DELAWARE ST BERKELEY, CA 94709 ",2087,DELAWARE ST,BERKELEY,CA,94709,-122.26908,37.874937,06,001,422400,3
"2421 GRANT ST BERKELEY, CA 94703 ",2421,GRANT ST,BERKELEY,CA,94703,-122.274154,37.864073,06,001,423000,2
"1635 CARLETON ST BERKELEY, CA 94703 ",1635,CARLETON ST,BERKELEY,CA,94703,-122.276611,37.860338,06,001,423400,2
"1059 EASTSHORE HW ALBANY, CA 94706 ",1059,EASTSHORE HW,ALBANY,CA,94706,-122.308027,37.88443,06,001,420402,1
"1320 JOSEPHINE ST BERKELEY, CA 94703 ",1320,JOSEPHINE ST,BERKELEY,CA,94703,-122.275674,37.882149,06,001,421800,1
"1304 KAINS AVE BERKELEY, CA 94702 ",1304,KAINS AVE,BERKELEY,CA,94702,-122.295049,37.880334,06,001,421900,4
"2420 ASHBY AVE BERKELEY, CA 94705 ",2420,ASHBY AVE,BERKELEY,CA,94705,-122.258636,37.855981,06,001,423902,2
"1620 ALCATRAZ AV BERKELEY, CA 94703 ",1620,ALCATRAZ AV,BERKELEY,CA,94703,-122.274558,37.848036,06,001,424001,4
"1900 WALNUT ST BERKELEY, CA 94704 ",1900,WALNUT ST,BERKELEY,CA,94704,-122.267159,37.872622,06,001,422400,1
"1901 DWIGHT WY BERKELEY, CA 94704 ",1901,DWIGHT WY,BERKELEY,CA,94704,-122.271753,37.863573,06,001,422902,1
"2633 DANA ST BERKELEY, CA 94704 ",2633,DANA ST,BERKELEY,CA,94704,-122.259824,37.861864,06,001,423602,3
"3006 STANTON ST BERKELEY, CA 94702 ",3006,STANTON ST,BERKELEY,CA,94702,-122.279822,37.852947,06,001,424002,1
"1235 WALNUT ST BERKELEY, CA 94709 ",1235,WALNUT ST,BERKELEY,CA,94709,-122.268364,37.8847,06,001,421700,1
"1514 WALNUT ST BERKELEY, CA 94709 ",1514,WALNUT ST,BERKELEY,CA,94709,-122.268446,37.879693,06,001,421700,3
"2441 DURANT AV BERKELEY, CA 94704 ",2441,DURANT AV,BERKELEY,CA,94704,-122.259309,37.868049,06,001,422800,2
"2943 MAGNOLIA ST BERKELEY, CA 94705 ",2943,MAGNOLIA ST,BERKELEY,CA,94705,-122.248795,37.857052,06,001,423800,3
"1315 EIGHTH ST BERKELEY, CA 94710 ",1315,EIGHTH ST,BERKELEY,CA,94710,-122.298692,37.879257,06,001,422000,2
"1432 SPRUCE ST BERKELEY, CA 94709 ",1432,SPRUCE ST,BERKELEY,CA,94709,-122.266242,37.881036,06,001,421700,2
"1624 JAYNES ST BERKELEY, CA 94703 ",1624,JAYNES ST,BERKELEY,CA,94703,-122.279335,37.877797,06,001,421800,2
"2029 CHANNING WY BERKELEY, CA 94704 ",2029,CHANNING WY,BERKELEY,CA,94704,-122.268559,37.865913,06,001,422901,2
"535 PIERCE ST ALBANY, CA 94706 ",535,PIERCE ST,ALBANY,CA,94706,-122.307699,37.896909,06,001,420301,1
"1601 DELAWARE ST BERKELEY, CA 94703 ",1601,DELAWARE ST,BERKELEY,CA,94703,-122.279928,37.87357,06,001,422300,2
"2917 AVALON AV BERKELEY, CA 94705 ",2917,AVALON AV,BERKELEY,CA,94705,-122.248247,37.859999,06,001,423700,2
"1615 STANNAGE AV BERKELEY, CA 94702 ",1615,STANNAGE AV,BERKELEY,CA,94702,-122.291866,37.874871,06,001,422200,1
"2340 WARD ST BERKELEY, CA 94705 ",2340,WARD ST,BERKELEY,CA,94705,-122.260363,37.86002,06,001,423601,1
"2833 CLAREMONT BL BERKELEY, CA 94705 ",2833,CLAREMONT BL,BERKELEY,CA,94705,-122.24505,37.859598,06,001,423700,2
"2340 PARKER ST BERKELEY, CA 94704 ",2340,PARKER ST,BERKELEY,CA,94704,-122.260916,37.862704,06,001,423602,3
"800 DELAWARE ST BERKELEY, CA 94710 ",800,DELAWARE ST,BERKELEY,CA,94710,-122.299281,37.870384,06,001,422000,2
"712 FOLGER AV BERKELEY, CA 94710 ",712,FOLGER AV,BERKELEY,CA,94710,-122.293991,37.849115,06,001,422000,1
"2129 SIXTH ST BERKELEY, CA 94710 ",2129,SIXTH ST,BERKELEY,CA,94710,-122.296542,37.865612,06,001,423200,1
"555 PIERCE ST ALBANY, CA 94706 ",555,PIERCE ST,ALBANY,CA,94706,-122.306396,37.894252,06,001,420301,1
"3015 SAN PABLO AV BERKELEY, CA 94702 ",3015,SAN PABLO AV,BERKELEY,CA,94702,-122.286092,37.851809,06,001,424002,1
"0 CONTRA COSTA AVE BERKELEY, CA 94707 ",0,CONTRA COSTA AVE,BERKELEY,CA,94707,-122.275914,37.891219,06,001,421200,2
"735 GOODING WY ALBANY, CA 94706 ",735,GOODING WY,ALBANY,CA,94706,-122.301287,37.884331,06,001,420401,2
