,address_full,longitude,latitude,zip,median_household_income,nightly_rate_3bdrm
0,"2051 SAN PABLO AVE BERKELEY, CA 94702 ",-122.29153,37.868426,94702,86058,244
1,"1326 DERBY ST BERKELEY, CA 94702 ",-122.283433,37.858021,94702,86058,253
2,"1369 ADA ST BERKELEY, CA 94702 ",-122.286201,37.878792,94702,86058,283
3,"1304 KAINS AVE BERKELEY, CA 94702 ",-122.295049,37.880334,94702,86058,257
4,"3006 STANTON ST BERKELEY, CA 94702 ",-122.279822,37.852947,94702,86058,272
5,"1615 STANNAGE AV BERKELEY, CA 94702 ",-122.291866,37.874871,94702,86058,245
6,"3015 SAN PABLO AV BERKELEY, CA 94702 ",-122.286092,37.851809,94702,86058,245
7,"1436 NEILSON ST BERKELEY, CA 94702 ",-122.290704,37.877921,94702,86058,241
8,"1242 BURNETT ST BERKELEY, CA 94702 ",-122.284902,37.853153,94702,86058,248
9,"1225 ASHBY AV BERKELEY, CA 94702 ",-122.285844,37.852592,94702,86058,246
10,"3004 DOHR ST BERKELEY, CA 94702 ",-122.28067,37.852957,94702,86058,261
11,"1243 ASHBY AVE BERKELEY, CA 94702 ",-122.284794,37.852806,94702,86058,249
12,"2412 VALLEY ST BERKELEY, CA 94702 ",-122.284321,37.863144,94702,86058,246
13,"1231 BANCROFT WAY BERKELEY, CA 94702 ",-122.287181,37.865306,94702,86058,237
14,"2151 N VALLEY ST BERKELEY, CA 94702 ",-122.284659,37.867977,94702,86058,253
15,"1399 DELAWARE ST BERKELEY, CA 94702 ",-122.284882,37.872898,94702,86058,281
16,"1437 BANCROFT WAY BERKELEY, CA 94702 ",-122.281967,37.865968,94702,86058,253
17,"1337 ASHBY AV BERKELEY, CA 94702 ",-122.282105,37.853362,94702,86058,258
18,"1320 ADDISON ST BERKELEY, CA 94702 ",-122.284626,37.86834,94702,86058,241
19,"1413 FAIRVIEW ST BERKELEY, CA 94702 ",-122.279462,37.849625,94702,86058,260
20,"2306 SACRAMENTO ST BERKELEY, CA 94702 ",-122.281829,37.865352,94702,86058,250
21,"1308 ADDISON ST BERKELEY, CA 94702 ",-122.285875,37.868643,94702,86058,244
22,"2762 DOHR ST BERKELEY, CA 94702 ",-122.281634,37.856292,94702,86058,261
23,"2901 ACTON ST BERKELEY, CA 94702 ",-122.281379,37.854433,94702,86058,254
24,"2752 MABEL ST BERKELEY, CA 94702 ",-122.285245,37.856122,94702,86058,253
25,"1409 DERBY ST BERKELEY, CA 94702 ",-122.28207,37.858712,94702,86058,241
26,"2211 BROWNING ST BERKELEY, CA 94702 ",-122.287541,37.866342,94702,86058,230
27,"1207 CARLETON ST BERKELEY, CA 94702 ",-122.286341,37.85909,94702,86058,242
28,"2516 SAN PABLO AV BERKELEY, CA 94702 ",-122.289745,37.860381,94702,86058,242
29,"1820 WARD ST BERKELEY, CA 94703 ",-122.272445,37.858489,94703,95125,249
30,"1721 FRANCISCO ST BERKELEY, CA 94703 ",-122.276916,37.874959,94703,95125,300
31,"1614 ALCATRAZ AVE BERKELEY, CA 94703 ",-122.274956,37.847986,94703,95125,256
32,"2421 GRANT ST BERKELEY, CA 94703 ",-122.274154,37.864073,94703,95125,212
33,"1635 CARLETON ST BERKELEY, CA 94703 ",-122.276611,37.860338,94703,95125,236
34,"1320 JOSEPHINE ST BERKELEY, CA 94703 ",-122.275674,37.882149,94703,95125,330
35,"1620 ALCATRAZ AV BERKELEY, CA 94703 ",-122.274558,37.848036,94703,95125,256
36,"1624 JAYNES ST BERKELEY, CA 94703 ",-122.279335,37.877797,94703,95125,315
37,"1601 DELAWARE ST BERKELEY, CA 94703 ",-122.279928,37.87357,94703,95125,303
38,"1638 STUART ST BERKELEY, CA 94703 ",-122.275803,37.857135,94703,95125,247
39,"2840 CALIFORNIA ST BERKELEY, CA 94703 ",-122.277555,37.855698,94703,95125,272
40,"2870 ADELINE ST BERKELEY, CA 94703 ",-122.268747,37.856923,94703,95125,237
41,"3201 ADELINE ST BERKELEY, CA 94703 ",-122.270202,37.850589,94703,95125,259
42,"1522 WOOLSEY ST BERKELEY, CA 94703 ",-122.277542,37.850446,94703,95125,258
43,"1234 JOSEPHINE ST BERKELEY, CA 94703 ",-122.275826,37.883469,94703,95125,328
44,"1635 BERKELEY WAY BERKELEY, CA 94703 ",-122.278339,37.872029,94703,95125,276
45,"2219 JEFFERSON AV BERKELEY, CA 94703 ",-122.277915,37.867379,94703,95125,256
46,"1529 RUSSELL ST BERKELEY, CA 94703 ",-122.278136,37.855425,94703,95125,272
47,"2126 CALIFORNIA ST BERKELEY, CA 94703 ",-122.27991,37.868646,94703,95125,265
48,"1917 FAIRVIEW ST BERKELEY, CA 94703 ",-122.269629,37.85117,94703,95125,260
49,"2116 ROOSEVELT AV BERKELEY, CA 94703 ",-122.276538,37.869435,94703,95125,268
50,"1522 DWIGHT WY BERKELEY, CA 94703 ",-122.280178,37.862042,94703,95125,235
51,"1628 STUART ST BERKELEY, CA 94703 ",-122.276218,37.857145,94703,95125,248
52,"2627 CALIFORNIA ST BERKELEY, CA 94703 ",-122.277844,37.859687,94703,95125,242
53,"2091 CALIFORNIA ST BERKELEY, CA 94703 ",-122.279407,37.869962,94703,95125,255
54,"2350 SPAULDING AV BERKELEY, CA 94703 ",-122.280578,37.864242,94703,95125,247
55,"2423 MCGEE AVE BERKELEY, CA 94703 ",-122.276399,37.863773,94703,95125,216
56,"1535 OREGON ST BERKELEY, CA 94703 ",-122.278341,37.856459,94703,95125,256
57,"1849 CEDAR ST BERKELEY, CA 94703 ",-122.2739,37.877999,94703,95125,315
58,"1645 STUART ST BERKELEY, CA 94703 ",-122.275633,37.857648,94703,95125,254
59,"1721 DELAWARE ST BERKELEY, CA 94703 ",-122.276873,37.874005,94703,95125,288
60,"1739 ADDISON ST BERKELEY, CA 94703 ",-122.275714,37.870541,94703,95125,269
61,"1439 JOSEPHINE ST BERKELEY, CA 94703 ",-122.274796,37.87993,94703,95125,328
62,"1411 GRANT ST BERKELEY, CA 94703 ",-122.276034,37.880739,94703,95125,324
63,"1739 LINCOLN ST BERKELEY, CA 94703 ",-122.276451,37.876908,94703,95125,313
64,"2618 COLLEGE AV BERKELEY, CA 94704 ",-122.254002,37.862896,94704,46913,284
65,"2526 DURANT AV BERKELEY, CA 94704 ",-122.257717,37.8677,94704,46913,236
66,"2149 BLAKE ST BERKELEY, CA 94704 ",-122.26525,37.86354,94704,46913,233
67,"2005 BANCROFT WY BERKELEY, CA 94704 ",-122.269428,37.867825,94704,46913,253
68,"1900 WALNUT ST BERKELEY, CA 94704 ",-122.267159,37.872622,94704,46913,286
69,"1901 DWIGHT WY BERKELEY, CA 94704 ",-122.271753,37.863573,94704,46913,220
70,"2633 DANA ST BERKELEY, CA 94704 ",-122.259824,37.861864,94704,46913,222
71,"2441 DURANT AV BERKELEY, CA 94704 ",-122.259309,37.868049,94704,46913,242
72,"2029 CHANNING WY BERKELEY, CA 94704 ",-122.268559,37.865913,94704,46913,238
73,"2340 PARKER ST BERKELEY, CA 94704 ",-122.260916,37.862704,94704,46913,227
74,"2462 BANCROFT WY BERKELEY, CA 94704 ",-122.260003,37.868328,94704,46913,242
75,"2033 HASTE ST BERKELEY, CA 94704 ",-122.268669,37.864996,94704,46913,239
76,"2614 WARRING ST BERKELEY, CA 94704 ",-122.250571,37.863453,94704,46913,275
77,"27 PANORAMIC WAY BERKELEY, CA 94704 ",-122.248944,37.868522,94704,46913,259
78,"2330 WARRING ST BERKELEY, CA 94704 ",-122.250893,37.868154,94704,46913,260
79,"1932 HASTE ST BERKELEY, CA 94704 ",-122.270598,37.864193,94704,46913,233
80,"2161 ALLSTON WY BERKELEY, CA 94704 ",-122.266427,37.869847,94704,46913,260
81,"2501 DANA ST BERKELEY, CA 94704 ",-122.260393,37.864649,94704,46913,237
82,"2118 CHANNING WY BERKELEY, CA 94704 ",-122.266439,37.865655,94704,46913,239
83,"2230 DURANT AV BERKELEY, CA 94704 ",-122.264343,37.866822,94704,46913,237
84,"2530 PIEDMONT AV BERKELEY, CA 94704 ",-122.251829,37.864573,94704,46913,270
85,"2407 DANA ST BERKELEY, CA 94704 ",-122.260528,37.866228,94704,46913,229
86,"1945 BERKELEY WY BERKELEY, CA 94704 ",-122.271277,37.872899,94704,46913,301
87,"2521 CHANNING WY BERKELEY, CA 94704 ",-122.257458,37.867355,94704,46913,236
88,"2001 ALLSTON WY BERKELEY, CA 94704 ",-122.269974,37.869343,94704,46913,258
89,"2427 DURANT AV BERKELEY, CA 94704 ",-122.260142,37.867951,94704,46913,242
90,"2206 DWIGHT WY BERKELEY, CA 94704 ",-122.264674,37.864039,94704,46913,233
91,"2116 ALLSTON WY BERKELEY, CA 94704 ",-122.267032,37.869252,94704,46913,260
92,"2431 ELLSWORTH ST BERKELEY, CA 94704 ",-122.26274,37.865071,94704,46913,245
93,"2627 HILLEGASS AV BERKELEY, CA 94704 ",-122.255834,37.862387,94704,46913,258
94,"2080 ADDISON ST BERKELEY, CA 94704 ",-122.268571,37.870867,94704,46913,253
95,"2716 WEBSTER ST BERKELEY, CA 94705 ",-122.252115,37.85555,94705,143533,314
96,"2140 WARD ST BERKELEY, CA 94705 ",-122.265142,37.859404,94705,143533,232
97,"3117 COLLEGE AVE BERKELEY, CA 94705 ",-122.252353,37.853232,94705,143533,309
98,"2420 ASHBY AVE BERKELEY, CA 94705 ",-122.258636,37.855981,94705,143533,267
99,"2943 MAGNOLIA ST BERKELEY, CA 94705 ",-122.248795,37.857052,94705,143533,291
100,"2917 AVALON AV BERKELEY, CA 94705 ",-122.248247,37.859999,94705,143533,297
101,"2340 WARD ST BERKELEY, CA 94705 ",-122.260363,37.86002,94705,143533,232
102,"2833 CLAREMONT BL BERKELEY, CA 94705 ",-122.24505,37.859598,94705,143533,320
103,"2727 ALCATRAZ AV BERKELEY, CA 94705 ",-122.251254,37.851834,94705,143533,323
104,"2950 LINDEN AV BERKELEY, CA 94705 ",-122.249856,37.856815,94705,143533,285
105,"2416 DOWLING PL BERKELEY, CA 94705 ",-122.259024,37.854331,94705,143533,275
106,"2924 CLAREMONT AV BERKELEY, CA 94705 ",-122.245423,37.858256,94705,143533,322
107,"2739 DERBY ST BERKELEY, CA 94705 ",-122.251763,37.862436,94705,143533,286
108,"2840 WEBSTER ST BERKELEY, CA 94705 ",-122.24859,37.855761,94705,143533,323
109,"2960 COLLEGE AVE BERKELEY, CA 94705 ",-122.253307,37.856827,94705,143533,297
110,"2907 ELLSWORTH ST BERKELEY, CA 94705 ",-122.261252,37.857081,94705,143533,251
111,"64 OAK RIDGE RD BERKELEY, CA 94705 ",-122.2416,37.855814,94705,143533,346
112,"3100 COLLEGE AV BERKELEY, CA 94705 ",-122.252974,37.853647,94705,143533,322
113,"2221 DERBY ST BERKELEY, CA 94705 ",-122.263427,37.861078,94705,143533,239
114,"1059 EASTSHORE HW ALBANY, CA 94706 ",-122.308027,37.88443,94706,115712,225
115,"535 PIERCE ST ALBANY, CA 94706 ",-122.307699,37.896909,94706,115712,212
116,"555 PIERCE ST ALBANY, CA 94706 ",-122.306396,37.894252,94706,115712,213
117,"735 GOODING WY ALBANY, CA 94706 ",-122.301287,37.884331,94706,115712,238
118,"841 SAN CARLOS AV ALBANY, CA 94706 ",-122.289064,37.891431,94706,115712,232
119,"712 MADISON ST ALBANY, CA 94706 ",-122.302072,37.89326,94706,115712,219
120,"1247 BRIGHTON AV ALBANY, CA 94706 ",-122.296129,37.897931,94706,115712,233
121,"1002 VENTURA AV ALBANY, CA 94706 ",-122.283966,37.886524,94706,115712,291
122,"1030 EVELYN AV ALBANY, CA 94706 ",-122.293434,37.88638,94706,115712,244
123,"817 JACKSON ST ALBANY, CA 94706 ",-122.30186,37.891171,94706,115712,223
124,"1052 CURTIS ST ALBANY, CA 94706 ",-122.288685,37.88575,94706,115712,263
125,"1111 CORNELL AV ALBANY, CA 94706 ",-122.29398,37.883891,94706,115712,245
126,"1553 MARIN AV ALBANY, CA 94706 ",-122.284761,37.889715,94706,115712,238
127,"1566 SOLANO AV ALBANY, CA 94706 ",-122.284765,37.890911,94706,115712,250
128,"624 SAN MIGUEL AV BERKELEY, CA 94707 ",-122.282877,37.896298,94707,182603,239
129,"761 SPRUCE ST BERKELEY, CA 94707 ",-122.26893,37.896062,94707,182603,322
130,"150 MONTROSE RD BERKELEY, CA 94707 ",-122.27013,37.895631,94707,182603,308
131,"0 CONTRA COSTA AVE BERKELEY, CA 94707 ",-122.275914,37.891219,94707,182603,302
132,"813 SAN DIEGO RD BERKELEY, CA 94707 ",-122.271385,37.894278,94707,182603,322
133,"510 THE ALAMEDA BERKELEY, CA 94707 ",-122.280388,37.9004,94707,182603,231
134,"1962 YOSEMITE RD BERKELEY, CA 94707 ",-122.276562,37.895749,94707,182603,284
135,"632 THE ALAMEDA BERKELEY, CA 94707 ",-122.281407,37.89626,94707,182603,279
136,"406 BOYNTON AV BERKELEY, CA 94707 ",-122.277203,37.902802,94707,182603,267
137,"718 CONTRA COSTA AV BERKELEY, CA 94707 ",-122.277382,37.896219,94707,182603,264
138,"910 COLUSA AVE BERKELEY, CA 94707 ",-122.279496,37.890875,94707,182603,282
139,"84 MENLO PL BERKELEY, CA 94707 ",-122.281997,37.898564,94707,182603,229
140,"581 ARLINGTON AVE BERKELEY, CA 94707 ",-122.277404,37.899749,94707,182603,252
